This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
I0502 14:57:39.977751 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977762 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977772 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977784 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977794 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977805 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977815 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977826 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977836 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977847 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977857 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977868 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977878 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977889 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977900 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977928 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977939 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:39.977949 31954610 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318681 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318849 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318861 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318867 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318873 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318877 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318882 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318886 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318890 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318894 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318898 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318902 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318907 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318912 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318917 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318921 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318924 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318927 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318930 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318933 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318936 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318939 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318942 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318945 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318948 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318951 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.318954 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
